Year,Barrels (31 gallons) (2),Number of Breweries (1),Total Barrels (3),Taxable Removals (4),Total Shipped (Exported) (6)
2015,"1,000,001 Barrels+",15,"136,122,437.44","124,274,009.86","4,949,737.19"
2015,"1,000,001 Barrels+",6,"23,939,648.17","23,001,189.23","731,500.80"
2015,"1,000,001 Barrels+",4,"4,997,347.64","4,983,601.48","50,188.48"
2015,"500,001 to 1,000,000 Barrels",7,"5,050,717.11","4,821,272.06","16,414.10"
2015,"100,001 to 500,000 Barrels",49,"10,645,528.10","8,697,815.57","336,057.52"
2015,"60,001 to 100,000 Barrels",24,"1,887,855.83","1,583,089.18","23,158.65"
2015,"30,001 to 60,000 Barrels",56,"2,453,623.13","2,185,447.02","29,356.22"
2015,"15,001 to 30,000 Barrels",71,"1,509,411.47","1,294,031.85","40,755.39"
2015,"7,501 to 15,000 Barrels",133,"1,427,754.07","1,203,851.81","25,574.94"
2015,"1,001 to 7,500 Barrels",851,"2,242,859.09","1,978,577.42","6,661.33"
2015,"1 to 1,000 Barrels ","2,812","835,835.99","733,307.88","1,892.46"
2015,Under 1 Barrel,476,0,"87,811.22",0.00
