Year,Barrels (31 gallons) (2),Number of Breweries (1),Total Barrels (3),Taxable Removals (4),Total Shipped (Exported) (6)
2014,"1,000,001 Barrels+",15,"138,677,888.13","127,713,535.80","4,331,255.24"
2014,"1,000,001 Barrels+",6,"25,151,895.32","23,845,947.59","610,799.51"
2014,"1,000,001 Barrels+",5,"6,055,336.28","5,863,392.69","43,468.52"
2014,"500,001 to 1,000,000 Barrels",6,"3,836,841.48","3,593,230.98","9,185.76"
2014,"100,001 to 500,000 Barrels",44,"9,093,514.82","7,116,673.80","344,448.36"
2014,"60,001 to 100,000 Barrels",20,"1,548,669.55","1,383,528.02","20,895.86"
2014,"30,001 to 60,000 Barrels",62,"2,639,561.55","2,301,357.80","40,785.96"
2014,"15,001 to 30,000 Barrels",62,"1,310,960.09","1,070,829.91","71,296.98"
2014,"7,501 to 15,000 Barrels",102,"1,042,199.42","916,679.91","22,024.91"
2014,"1,001 to 7,500 Barrels",730,"1,959,533.50","1,701,354.40","12,954.04"
2014,"1 to 1,000 Barrels ","2,321","698,737.88","607,290.33","1,547.17"
2014,Under 1 Barrel,0,0,0.00,0.00
