Year,Barrels (31 gallons) (2),Number of Breweries (1),Total Barrels (3),Taxable Removals (4),Total Shipped (Exported) (6)
2007,"1,000,001 Barrels+",17,"167,562,085.40","153,687,098.69","2,410,884.99"
2007,"1,000,001 Barrels+",3,"13,003,841.85","12,705,937.93","1,110,458.58"
2007,"500,001 to 1,000,000 Barrels",10,"6,641,984.43","6,361,689.70","107,036.38"
2007,"100,001 to 500,000 Barrels",24,"4,972,430.67","3,920,412.25","133,170.81"
2007,"60,001 to 100,000 Barrels",20,"1,513,844.02","1,229,995.99","2,777.13"
2007,"30,001 to 60,000 Barrels",34,"1,441,864.66","1,220,403.56","56,713.40"
2007,"15,001 to 30,000 Barrels",26,"538,169.53","507,959.18","1,560.71"
2007,"7,501 to 15,000 Barrels",41,"452,233.35","435,496.75",579.92
2007,"1,001 to 7,500 Barrels",356,"819,158.91","748,857.91","2,168.69"
2007,"1 to 1,000 Barrels ",909,"355,171.47","333,645.08",532.71
2007,Under 1 Barrel,179,0.8,"10,299.88","1,848.39"
