Year,Barrels (31 gallons) (2),Number of Breweries (1),Total Barrels (3),Taxable Removals (4),Total Shipped (Exported) (6)
2011,"1,000,001 Barrels+",16,"138,963,353.84","128,108,304.25","3,578,089.34"
2011,"1,000,001 Barrels+",5,"17,703,591.00","16,695,626.31","84,271.18"
2011,"1,000,001 Barrels+",9,"13,524,548.35","12,843,570.78","363,998.23"
2011,"500,001 to 1,000,000 Barrels",11,"8,448,633.99","7,946,481.07","50,702.23"
2011,"100,001 to 500,000 Barrels",41,"7,926,808.21","6,624,765.18","242,865.43"
2011,"60,001 to 100,000 Barrels",16,"1,157,839.90","1,059,934.77","11,701.43"
2011,"30,001 to 60,000 Barrels",43,"1,754,234.55","1,476,996.37","52,204.69"
2011,"15,001 to 30,000 Barrels",42,"893,273.36","710,825.62","40,413.02"
2011,"7,501 to 15,000 Barrels",63,"662,095.46","577,424.67",270.75
2011,"1,001 to 7,500 Barrels",513,"1,254,333.75","1,126,835.82",930.14
2011,"1 to 1,000 Barrels ","1,334","458,109.83","416,612.28",580.62
2011,Under 1 Barrel,0,0,0.00,0.00
