Year,Barrels (31 gallons) (2),Number of Breweries (1),Total Barrels (3),Taxable Removals (4),Total Shipped (Exported) (6)
2009,"1,000,001 Barrels+",18,"171,232,881.59","159,643,984.23","3,639,970.11"
2009,"1,000,001 Barrels+",4,"9,970,404.28","9,592,722.75","14,548.37"
2009,"500,001 to 1,000,000 Barrels",7,"4,831,385.68","4,535,659.48","21,563.66"
2009,"100,001 to 500,000 Barrels",27,"5,422,155.72","4,469,288.93","128,000.13"
2009,"60,001 to 100,000 Barrels",19,"1,501,976.56","1,224,618.44","95,732.77"
2009,"30,001 to 60,000 Barrels",32,"1,412,244.73","1,233,958.75","14,369.85"
2009,"15,001 to 30,000 Barrels",40,"895,133.22","750,528.77","19,808.10"
2009,"7,501 to 15,000 Barrels",42,"442,753.54","388,968.45",240.18
2009,"1,001 to 7,500 Barrels",357,"859,934.81","769,155.15","12,365.55"
2009,"1 to 1,000 Barrels ","1,037","400,401.17","371,872.85",123.68
2009,Under 1 Barrel,195,3.7,"14,711.36",119.27
